id,name,suggested_by_connector_id,country,state,variant,status,created_at
1,REFERRAL MARKETING,,India,Tamil Nadu,b2c,pending,2025-08-31 09:57:29.585+00
2,FURNITURE FOR IT PARKS,,India,Tamil Nadu,b2c,pending,2025-09-05 23:36:43.797+00
3,REFERRAL MARKETING,,India,Tamil Nadu,b2c,pending,2025-09-15 03:21:38.222+00
5,CUSTOMISED GENUINE LEATHER FURNITURE,,India,Tamil Nadu,b2b,pending,2025-09-15 11:03:49.696+00
4,REFERRAL MARKETING,,India,Tamil Nadu,b2c,pending,2025-09-15 03:33:16.904+00
